Folder,File,Breed,Sex,F0_mean,F0_min,F0_max,F1_mean,F2_mean
chihuahua_female,40121_chihuahua_F_dog_62.wav,chihuahua,female,394.3,384.2,400.5,1156.2,1828.4
chihuahua_female,40122_chihuahua_F_dog_62.wav,chihuahua,female,459.0,447.1,480.6,930.6,1587.2
chihuahua_female,40125_chihuahua_F_dog_62.wav,chihuahua,female,295.4,166.3,473.8,1061.2,1917.2
chihuahua_female,44068_chihuahua_F_dog_71.wav,chihuahua,female,388.3,179.3,449.3,1201.1,1726.7
chihuahua_female,44069_chihuahua_F_dog_71.wav,chihuahua,female,349.8,85.7,506.1,1319.1,1684.2
chihuahua_female,44073_chihuahua_F_dog_71.wav,chihuahua,female,395.5,364.4,415.3,1206.0,1832.7
chihuahua_female,44078_chihuahua_F_dog_72.wav,chihuahua,female,454.9,396.9,493.5,923.4,1769.1
chihuahua_female,44107_chihuahua_F_dog_72.wav,chihuahua,female,370.8,268.5,511.0,960.8,1794.6
chihuahua_female,44110_chihuahua_F_dog_72.wav,chihuahua,female,401.5,82.8,497.9,899.2,1609.7
chihuahua_female,44117_chihuahua_F_dog_73.wav,chihuahua,female,397.0,223.4,512.2,911.6,1859.8
chihuahua_female,44131_chihuahua_F_dog_73.wav,chihuahua,female,402.3,380.8,408.3,969.4,1758.1
chihuahua_female,44176_chihuahua_F_dog_73.wav,chihuahua,female,322.8,283.6,390.8,570.8,1433.8
chihuahua_female,44600_chihuahua_F_dog_75.wav,chihuahua,female,266.9,266.9,266.9,854.2,1279.5
chihuahua_female,44605_chihuahua_F_dog_75.wav,chihuahua,female,303.9,80.5,499.5,1001.1,1813.9
chihuahua_female,44634_chihuahua_F_dog_75.wav,chihuahua,female,84.1,75.1,95.0,890.6,1349.6
chihuahua_female,44665_chihuahua_F_dog_76.wav,chihuahua,female,346.2,226.2,470.8,901.6,1848.6
chihuahua_female,44814_chihuahua_F_dog_76.wav,chihuahua,female,0,0,0,809.3,2185.8
chihuahua_female,44823_chihuahua_F_dog_76.wav,chihuahua,female,408.9,259.5,503.3,1002.3,1840.8
chihuahua_female,44914_chihuahua_F_dog_77.wav,chihuahua,female,0,0,0,1159.4,1794.4
chihuahua_female,44952_chihuahua_F_dog_77.wav,chihuahua,female,395.7,373.5,412.9,1312.7,1699.9
chihuahua_female,44993_chihuahua_F_dog_77.wav,chihuahua,female,308.3,239.9,515.0,657.2,1275.1
chihuahua_female,45743_chihuahua_F_dog_79.wav,chihuahua,female,400.1,274.9,491.4,1065.2,1801.5
chihuahua_female,45752_chihuahua_F_dog_79.wav,chihuahua,female,383.9,247.8,473.8,936.0,1539.8
chihuahua_female,45754_chihuahua_F_dog_79.wav,chihuahua,female,317.4,231.5,466.5,910.3,1642.9
chihuahua_female,45924_chihuahua_F_dog_80.wav,chihuahua,female,372.1,364.9,378.1,1004.8,1607.8
chihuahua_female,46224_chihuahua_F_dog_80.wav,chihuahua,female,270.7,269.5,271.9,936.5,1686.8
chihuahua_female,46645_chihuahua_F_dog_80.wav,chihuahua,female,0,0,0,1028.5,1630.2
chihuahua_female,46777_chihuahua_F_dog_81.wav,chihuahua,female,420.2,413.1,426.2,1248.7,1822.3
chihuahua_female,47405_chihuahua_F_dog_81.wav,chihuahua,female,152.0,75.0,263.5,857.0,1628.4
chihuahua_female,47467_chihuahua_F_dog_81.wav,chihuahua,female,359.7,220.0,528.8,984.4,1751.8
chihuahua_male,103_chihuahua_M_dog_2.wav,chihuahua,male,179.7,169.4,198.0,845.2,1864.5
chihuahua_male,104_chihuahua_M_dog_2.wav,chihuahua,male,169.1,151.2,182.2,723.8,1637.4
